"word","n","freq","cumulative_sum"
"our",149837,0.00217937236571782,0.408959558233657
"has",148822,0.00216460923677634,0.411124167470433
"dont",148569,0.00216092936325694,0.41328509683369
"no",148363,0.00215793310260478,0.415443029936295
"who",148229,0.00215598407868541,0.41759901401498
"her",144512,0.00210192048235491,0.419700934497335
"now",144389,0.00210013145293639,0.421801065950271
"how",143178,0.00208251751288898,0.42388358346316
"day",142813,0.00207720860445189,0.425960792067612
"know",140886,0.00204918047689503,0.428009972544507
"would",138820,0.00201913060064568,0.430029103145153
"were",136601,0.00198685534633915,0.432015958491492
"new",129080,0.00187746274262602,0.433893421234118
"been",126804,0.00184435842590603,0.435737779660024
"she",125555,0.00182619177758298,0.437563971437607
"their",124776,0.00181486125793233,0.43937883269554
"them",121926,0.00177340813725922,0.441152240832799
"see",118031,0.00171675553900598,0.442868996371805
"go",116257,0.0016909527895063,0.444559949161311
"people",114405,0.0016640155335461,0.446223964694857
"back",110351,0.00160505028750794,0.447829014982365
"great",107574,0.00156465894852225,0.449393673930887
"us",107155,0.00155856461253557,0.450952238543423
"think",103154,0.00150037024909238,0.452452608792515
"am",100564,0.00146269881662104,0.453915307609136
"make",100247,0.00145808806600582,0.455373395675142
"well",98954,0.00143928143967939,0.456812677114821
"going",97528,0.00141854033438822,0.45823121744921
"too",96989,0.00141070060384688,0.459641918053057
"really",96425,0.00140249724943999,0.461044415302497
"thanks",95838,0.0013939593610768,0.462438374663573
"then",95523,0.00138937770037082,0.463827752363944
"today",95168,0.00138421424147996,0.465211966605424
"much",95046,0.00138243975701606,0.46659440636244
"only",94359,0.00137244737319065,0.467966853735631
"rt",88867,0.00129256648240585,0.469259420218037
"got",88863,0.00129250830258736,0.470551928520624
"into",88131,0.00128186139580395,0.471833789916428
"which",87727,0.00127598523413661,0.473109775150565
"want",86974,0.00126503288330613,0.474374808033871
"than",86705,0.00126112029051278,0.475635928324384
"first",86127,0.00125271330674118,0.476888641631125
"way",85618,0.00124530992483851,0.478133951555963
"over",85355,0.00124148460177289,0.479375436157736
"because",83674,0.00121703453305307,0.480592470690789
"need",81615,0.00118708647148608,0.481779557162275
"right",81127,0.00117998853363047,0.482959545695906
"here",80987,0.00117795223998337,0.484137497935889
"work",80458,0.00117025795898826,0.485307755894877
"did",80411,0.00116957434612102,0.486477330240998
"him",80211,0.00116666535519659,0.487643995596195
"even",79824,0.00116103645775782,0.488805032053953
"other",79091,0.00115037500601979,0.489955407059973
"still",77709,0.00113027387873199,0.491085680938705
"u",77219,0.00112314685096714,0.492208827789672
"last",77189,0.00112271050232848,0.493331538292
"cant",76135,0.00110738012015674,0.494438918412157
"also",75942,0.00110457294391467,0.495543491356072
"very",75046,0.00109154066457323,0.496635032020645
"after",74794,0.00108787533600845,0.497722907356653
"could",74403,0.00108218825875119,0.498805095615405
"life",73919,0.00107514850071408,0.499880244116119
"said",73648,0.00107120681801148,0.50095145093413
"off",71364,0.00103798614165451,0.501989437075785
"lol",69391,0.00100928894618502,0.50299872602197
"any",68709,0.00099936928713272,0.503998095309102
"where",67466,0.000981289908537398,0.50497938521764
"come",67042,0.00097512284777761,0.505954508065417
"thats",66438,0.000966337695185837,0.506920845760603
"should",66312,0.000964505030903447,0.507885350791507
"little",65900,0.000958512509599125,0.508843863301106
"never",65865,0.00095800343618735,0.509801866737293
"these",65329,0.000950207340509882,0.510752074077803
"why",64890,0.000943822105430762,0.511695896183234
"say",64641,0.000940200411729848,0.512636096594964
"down",63985,0.000930658921497724,0.513566755516461
"being",63871,0.0009290007966708,0.514495756313132
"year",63214,0.000919444761484053,0.515415201074616
"take",62933,0.000915357629235231,0.516330558703851
